,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_MF_RF_CALC,DIFF_MF_RF_ACTUAL,YEAR
2464,3,Out,Collected,0.0,M2019008228-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2465,3,Out,Collected,0.0,M2019008229-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2466,3,Out,Collected,0.0,M2019008231-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2467,3,Out,Collected,0.0,M2019008232-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
2468,3,Out,Collected,0.0,M2019008234-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,53831.448,55635.542628504954,52145.079999999994,1804.0946285049577,3490.46262850496,2019
2469,3,Out,Collected,0.0,M2019008235-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,53831.448,55635.542628504954,52145.079999999994,1804.0946285049577,3490.46262850496,2019
2470,3,Out,Collected,0.0,M2019008238-0,230-00,"Condominium,Townhouse",CONDOMINIUM,Single-family,unit,47850.176,49453.81566978218,46351.18,1603.6396697821838,3102.635669782183,2019
2471,3,Out,Collected,0.0,M2019008267-N,492-00,Health/Fitness,OUTDOOR RECREATIONAL,Other,sq. ft.,0.0,0.0,0.0,0.0,0.0,2019
2472,3,Out,Collected,0.0,M2019008278-0,222-00,High-Rise Apart or Condo over 3 floors,MULTI-FAMILY 10 OR MORE,Multifamily,unit,120068.256,131440.81553871292,116306.9,11372.559538712929,15133.915538712929,2019
2473,3,Out,Collected,0.0,M2019008346-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,68387.396,69707.93812839604,66245.04000000001,1320.5421283960459,3462.898128396031,2019
2474,3,Out,Collected,0.0,M2019008451-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,9769.627999999999,9958.276875485148,9463.58,188.6488754851489,494.69687548514776,2019
