,Ring,SMART,STATUS,PED_ORIENTED,PROC_NUM,CAT_CODE,LANDUSE,SPC_LU,GN_VA_LU,UNITS,RIF_CALCULATED,MF_CALCULATED,RIF_ACTUAL,DIFF_RFc_RFa,DIFF_MFc_RFc,DIFF_MFc_RFa,YEAR
1040,2,Out,Collected,0.0,C2018108328-0,231-00,Duplex,MULTI-FAMILY LESS THAN 10,Multifamily,unit,7853.46,6598.0,13959.78674351586,-6106.3267435158605,-1255.46,-7361.7867435158605,2018
1041,2,Out,Collected,0.0,C2018109421-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1042,2,Out,Collected,0.0,C2018110137-0,150-00,Warehousing,"WAREHOUSING, DISTRIBUTION TERMINALS",Industrial/Manufacturing,sq. ft.,895086.1183,317765.25,866707.1,28379.018299999996,-577320.8683,-548941.85,2018
1043,2,Out,Collected,0.0,C2018113307-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
1044,2,Out,Collected,0.0,C2018113924-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1045,2,Out,Collected,0.0,C2018113945-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1046,2,Out,Collected,0.0,C2018113962-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,8947.898,9053.0,8664.199999999999,283.6980000000003,105.10200000000077,388.8000000000011,2018
1047,2,Out,Collected,0.0,C2018114252-0,630-00,Clinic,PROFESSIONAL BUILDING,Office,sq. ft.,385617.697548,180940.572,373391.1576020318,12226.539945968252,-204677.12554800004,-192450.5856020318,2018
1048,2,Out,Collected,0.0,C2018114252-0,820-00,"Shopping Center/General Retail [1-10,000]","STORES, ONE STORY",Commercial/Retail,sq. ft.,-31374.509619999997,-30158.54,-30379.737602031742,-994.7720179682547,1215.9696199999962,221.19760203174155,2018
1049,2,Out,Collected,0.0,C2018114255-0,210-00,Single Family Detached,SINGLE FAMILY RESIDENTIAL,Single-family,unit,0.0,0.0,0.0,0.0,0.0,0.0,2018
